0.000000	-12	-6	-6	7	
0.000500	-13	-6	-5	3	
0.001000	-15	-5	-4	-1	
0.001500	-16	-4	-4	-4	
0.002000	-18	-4	-3	-6	
0.002500	-18	-3	-1	-8	
0.003000	-18	-3	0	-10	
0.003500	-18	-2	2	-11	
0.004000	-19	-2	3	-13	
0.004500	-20	-2	4	-14	
0.005000	-21	-2	5	-16	
0.005500	-22	-1	7	-18	
0.006000	-21	-1	9	-21	
0.006500	-22	-1	10	-23	
0.007000	-21	-2	9	-26	
0.007500	-21	-2	8	-27	
0.008000	-21	-2	8	-27	
0.008500	-19	-3	7	-25	
0.009000	-19	-4	6	-20	
0.009500	-18	-4	5	-16	
0.010000	-17	-4	4	-11	
0.010500	-16	-5	2	-8	
0.011000	-14	-6	0	-5	
0.011500	-13	-7	-1	-2	
0.012000	-13	-6	-1	1	
0.012500	-13	-5	0	3	
0.013000	-14	-4	1	3	
0.013500	-14	-3	0	3	
0.014000	-14	-4	-1	4	
0.014500	-14	-4	-2	8	
0.015000	-13	-4	-3	13	
0.015500	-12	-4	-4	16	
0.016000	-12	-5	-3	18	
0.016500	-12	-6	0	18	
0.017000	-12	-7	4	17	
0.017500	-13	-6	8	16	
0.018000	-14	-6	11	15	
0.018500	-15	-5	14	14	
0.019000	-16	-4	15	12	
0.019500	-17	-5	16	8	
0.020000	-18	-6	16	3	
0.020500	-19	-6	13	-4	
0.021000	-19	-6	8	-11	
0.021500	-19	-4	-1	-22	
0.022000	-20	-3	-10	-31	
0.022500	-21	-2	-18	-36	
0.023000	-22	-1	-21	-38	
0.023500	-21	0	-20	-35	
0.024000	-22	0	-17	-32	
0.024500	-22	-2	-9	-28	
0.025000	-21	-3	2	-23	
0.025500	-19	-3	16	-20	
0.026000	-18	-4	27	-17	
0.026500	-16	-3	34	-15	
0.027000	-15	-5	34	-13	
0.027500	-14	-5	31	-11	
0.028000	-15	-5	23	-8	
0.028500	-14	-5	14	-4	
0.029000	-14	-5	2	-1	
0.029500	-13	-4	-9	2	
0.030000	-13	-3	-17	5	
0.030500	-12	-2	-24	8	
0.031000	-11	-3	-27	9	
0.031500	-11	-3	-30	10	
0.032000	-11	-2	-29	11	
0.032500	-12	0	-24	11	
0.033000	-13	1	-10	9	
0.033500	-14	2	4	5	
0.034000	-16	1	18	0	
0.034500	-16	0	28	-5	
0.035000	-18	-1	34	-9	
0.035500	-18	-2	33	-11	
0.036000	-18	-2	28	-13	
0.036500	-18	-3	17	-15	
0.037000	-18	-4	4	-17	
0.037500	-18	-3	-10	-20	
0.038000	-17	-4	-23	-22	
0.038500	-18	-5	-32	-24	
